GKA,GKA_20200123
MAG,MAG_20200123
HGU,HGU_20200123
LAE,LAE_20200123
POM,POM_20200123
WWK,WWK_20200123
UAK,UAK_20200123
GOH,GOH_20200123
SFJ,SFJ_20200123
THU,THU_20200123
AEY,AEY_20200123
EGS,EGS_20200123
HFN,HFN_20200123
HZK,HZK_20200123
IFJ,IFJ_20200123
KEF,KEF_20200123
PFJ,PFJ_20200123
RKV,RKV_20200123
SIJ,SIJ_20200123
VEY,VEY_20200123
YAM,YAM_20200123
YAZ,YAZ_20200123
YBB,YBB_20200123
YBC,YBC_20200123
YBG,YBG_20200123
YBK,YBK_20200123
YBL,YBL_20200123
YBR,YBR_20200123
YCB,YCB_20200123
YCD,YCD_20200123
YCG,YCG_20200123
YCH,YCH_20200123
YCL,YCL_20200123
YCO,YCO_20200123
YCT,YCT_20200123
YCW,YCW_20200123
YCY,YCY_20200123
YZS,YZS_20200123
YDA,YDA_20200123
YDB,YDB_20200123
YDL,YDL_20200123
YDN,YDN_20200123
YDQ,YDQ_20200123
YEG,YEG_20200123
YEK,YEK_20200123
YEN,YEN_20200123
YET,YET_20200123
YEU,YEU_20200123
YEV,YEV_20200123
YFB,YFB_20200123
YFC,YFC_20200123
YFE,YFE_20200123
YFO,YFO_20200123
YFR,YFR_20200123
YFS,YFS_20200123
YGK,YGK_20200123
YGL,YGL_20200123
YGP,YGP_20200123
YGQ,YGQ_20200123
YGR,YGR_20200123
YHB,YHB_20200123
YHD,YHD_20200123
YHI,YHI_20200123
YHK,YHK_20200123
YHM,YHM_20200123
YHU,YHU_20200123
YHY,YHY_20200123
YHZ,YHZ_20200123
YIB,YIB_20200123
YIO,YIO_20200123
YJN,YJN_20200123
YKA,YKA_20200123
YKF,YKF_20200123
YKL,YKL_20200123
YKY,YKY_20200123
YKZ,YKZ_20200123
YLD,YLD_20200123
YLJ,YLJ_20200123
YLL,YLL_20200123
YLT,YLT_20200123
YLW,YLW_20200123
YMA,YMA_20200123
YMJ,YMJ_20200123
YMM,YMM_20200123
YMO,YMO_20200123
YMW,YMW_20200123
YMX,YMX_20200123
YNA,YNA_20200123
YND,YND_20200123
YNM,YNM_20200123
YOC,YOC_20200123
YOD,YOD_20200123
YOJ,YOJ_20200123
YOW,YOW_20200123
YPA,YPA_20200123
YPE,YPE_20200123
YPG,YPG_20200123
YPL,YPL_20200123
YPN,YPN_20200123
YPQ,YPQ_20200123
YPR,YPR_20200123
YPY,YPY_20200123
YQA,YQA_20200123
YQB,YQB_20200123
YQF,YQF_20200123
YQG,YQG_20200123
YQH,YQH_20200123
YQK,YQK_20200123
YQL,YQL_20200123
YQM,YQM_20200123
YQQ,YQQ_20200123
YQR,YQR_20200123
YQT,YQT_20200123
YQU,YQU_20200123
YQV,YQV_20200123
YQW,YQW_20200123
YQY,YQY_20200123
YQZ,YQZ_20200123
YRB,YRB_20200123
YRI,YRI_20200123
YRJ,YRJ_20200123
YRM,YRM_20200123
YRT,YRT_20200123
YSB,YSB_20200123
YSC,YSC_20200123
YSJ,YSJ_20200123
YSM,YSM_20200123
YSR,YSR_20200123
YSU,YSU_20200123
YSY,YSY_20200123
YTE,YTE_20200123
YTH,YTH_20200123
YTR,YTR_20200123
YTS,YTS_20200123
YTZ,YTZ_20200123
YUB,YUB_20200123
YUL,YUL_20200123
YUT,YUT_20200123
YUX,YUX_20200123
YUY,YUY_20200123
YVC,YVC_20200123
YVG,YVG_20200123
YVM,YVM_20200123
YVO,YVO_20200123
YVP,YVP_20200123
YVQ,YVQ_20200123
YVR,YVR_20200123
YVT,YVT_20200123
YVV,YVV_20200123
YWA,YWA_20200123
YWG,YWG_20200123
YWK,YWK_20200123
YWL,YWL_20200123
YWY,YWY_20200123
YXC,YXC_20200123
YXD,YXD_20200123
YXE,YXE_20200123
YXH,YXH_20200123
YXJ,YXJ_20200123
YXL,YXL_20200123
YXP,YXP_20200123
YXR,YXR_20200123
YXS,YXS_20200123
YXT,YXT_20200123
YXU,YXU_20200123
YXX,YXX_20200123
YXY,YXY_20200123
YYB,YYB_20200123
YYC,YYC_20200123
YYD,YYD_20200123
YYE,YYE_20200123
YYF,YYF_20200123
YYG,YYG_20200123
YYH,YYH_20200123
YYJ,YYJ_20200123
YYL,YYL_20200123
YYN,YYN_20200123
YYQ,YYQ_20200123
YYR,YYR_20200123
YYU,YYU_20200123
YYW,YYW_20200123
YYY,YYY_20200123
YYZ,YYZ_20200123
YZD,YZD_20200123
YZE,YZE_20200123
YZF,YZF_20200123
YZH,YZH_20200123
YZP,YZP_20200123
YZR,YZR_20200123
YZT,YZT_20200123
YZU,YZU_20200123
YZV,YZV_20200123
YZW,YZW_20200123
YZX,YZX_20200123
ZFA,ZFA_20200123
ZFM,ZFM_20200123
QLD,QLD_20200123
BUJ,BUJ_20200123
BJA,BJA_20200123
ALG,ALG_20200123
DJG,DJG_20200123
VVZ,VVZ_20200123
TMR,TMR_20200123
GJL,GJL_20200123
MZW,MZW_20200123
AAE,AAE_20200123
CZL,CZL_20200123
TEE,TEE_20200123
HRM,HRM_20200123
TID,TID_20200123
TIN,TIN_20200123
CFK,CFK_20200123
TAF,TAF_20200123
TLM,TLM_20200123
ORN,ORN_20200123
BFW,BFW_20200123
MUW,MUW_20200123
